algoName,memSize,pageFault,Interrupt,write
Optimal,30,250772,136391,136391
Optimal,60,224068,127919,127919
Optimal,90,204208,121069,121069
Optimal,120,187915,115032,115032
Optimal,150,173947,109516,109516
Optimal,30,50206.9,39307.8,39307.8
Optimal,60,15864.6,14459.5,14459.5
Optimal,90,7899.2,7770.07,7770.07
Optimal,120,6768.4,6646.27,6646.27
Optimal,150,6123,5971.4,5971.4
Optimal,30,140433,92738.9,92738.9
Optimal,60,83390.8,60300.3,60300.3
Optimal,90,48511.9,36177.3,36177.3
Optimal,120,26018.1,19223.7,19223.7
Optimal,150,12371.3,8870.93,8870.93
